date, state, city, place_type, confirmed, deaths, order_for_place, is_last, estimated_population_2019, estimated_population, city_ibge_code, confirmed_per_100k_inhabitants, death_rate
2021-04-12, MA, Alcântara, city, 208, 11, 360, True, 22097, 22112, 2100204, 940.66570
2021-04-12, CE, Alcântaras, city, 1030, 11, 346, True, 11714, 11781, 2300507, 8742.89110
2021-04-12, MA, Aldeias Altas, city, 975, 13, 347, True, 26532, 26757, 2100303, 3643.90627
2021-04-12, RS, Alecrim, city, 226, 9, 302, True, 5950, 5827, 4300307, 3878.49665
2021-04-12, ES, Alegre, city, 1618, 37, 339, True, 30084, 29975, 3200201, 5397.83153
2021-04-12, RS, Alegrete, city, 5691, 170, 349, True, 73589, 73028, 4300406, 7792.90135
2021-04-12, PI, Alegrete do Piauí, city, 424, 5, 302, True, 4915, 4918, 2200277, 8621.39081
2021-04-12, RS, Alegria, city, 291, 1, 263, True, 3464, 3374, 4300455, 8624.77771
2021-04-12, PA, Alenquer, city, 2273, 69, 348, True, 56789, 57092, 1500404, 3981.29335
2021-03-16, RN, Alexandria, city, 894, 9, 223, True, 13577, 13553, 2400505, 6596.32554
2021-04-12, GO, Alexânia, city, 2413, 47, 336, True, 27653, 28010, 5200308, 8614.78044
2021-03-31, MG, Alfenas, city, 5085, 112, 345, True, 79996, 80494, 3101607, 6317.24104
2021-04-12, ES, Alfredo Chaves, city, 1967, 24, 348, True, 14601, 14636, 3200300, 13439.46433
2021-04-12, SP, Alfredo Marcondes, city, 196, 8, 314, True, 4166, 4184, 3500808, 4684.51243
2021-03-31, MG, Alfredo Vasconcelos, city, 193, 5, 305, True, 6907, 6981, 3101631, 2764.64690
2021-04-12, SC, Alfredo Wagner, city, 587, 5, 318, True, 10036, 10086, 4200705, 5819.94844
2021-04-12, PB, Algodão de Jandaíra, city, 90, 0, 272, True, 2567, 2577, 2500577, 3492.43306
2021-04-12, PB, Alhandra, city, 1275, 24, 322, True, 19588, 19727, 2500601, 6463.22299
2021-04-12, PE, Aliança, city, 482, 36, 365, True, 38386, 38397, 2600708, 1255.30640
2021-04-11, TO, Aliança do Tocantins, city, 479, 15, 341, True, 5390, 5346, 1700350, 8959.97007
2021-04-12, BA, Almadina, city, 575, 9, 348, True, 5464, 5366, 2900900, 10715.61685
2021-04-11, TO, Almas, city, 176, 4, 324, True, 7055, 6979, 1700400, 2521.85127
2021-04-12, PA, Almeirim, city, 3234, 30, 346, True, 34109, 34076, 1500503, 9490.55053
2021-03-31, MG, Almenara, city, 2893, 28, 330, True, 41896, 42143, 3101706, 6864.72249
2021-03-16, RN, Almino Afonso, city, 241, 7, 204, True, 4735, 4710, 2400604, 5116.77282
2021-04-13, PR, Almirante Tamandaré, city, 7357, 261, 379, True, 118623, 120041, 4100400, 6128.73935
